jobid	node	walltime	systime	memory	memunit	status
NA20586_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.32944444444	2.31666666667	6.510	G	0
NA20527_7_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.9875	2.41666666667	7.910	G	0
NA20756_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.799166666667	2.81666666667	6.119	G	0
NA20534_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.32222222222	3.48333333333	7.233	G	0
NA20509_accepted_hits.bam_cufflinks.sh	compute-0-47.local	4.01638888889	4.91666666667	8.552	G	0
NA20581_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.19111111111	3.11666666667	5.764	G	0
NA20544_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.31	2.13333333333	7.089	G	0
NA20754_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.786666666667	2.7	5.864	G	0
NA20585_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.995833333333	3.33333333333	5.740	G	0
NA20527_8_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.43361111111	2.28333333333	6.745	G	0
NA20543_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.21861111111	2.26666666667	6.399	G	0
NA20527_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.375	3.36666666667	7.318	G	0
NA20530_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.05111111111	2.98333333333	7.534	G	0
NA20539_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.40222222222	3.11666666667	6.701	G	0
NA20540_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.34111111111	3.31666666667	6.083	G	0
NA20542_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.11611111111	3.18333333333	6.253	G	0
NA20528_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.01555555556	3.53333333333	7.285	G	0
NA20543_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.936111111111	2.81666666667	5.999	G	0
NA20536_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.57888888889	3.91666666667	6.335	G	0
NA20519_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.59138888889	4.01666666667	7.247	G	0
NA20531_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.62027777778	3.96666666667	6.262	G	0
NA20529_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.63444444444	2.01666666667	6.605	G	0
NA20532_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.41361111111	3.85	5.917	G	0
NA20532_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.30444444444	4.36666666667	6.006	G	0
NA20538_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.02972222222	2.88333333333	6.580	G	0
NA20527_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.02444444444	3.0	6.868	G	0
NA20535_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.21416666667	2.76666666667	6.224	G	0
NA20537_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.985833333333	2.9	5.856	G	0
NA20538_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.888611111111	3.26666666667	6.106	G	0
NA20527_3_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.71638888889	3.4	6.242	G	0
NA20524_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.69138888889	3.1	7.557	G	0
