sample	tophat	cufflinks	ballgown	cuffquant
01	0.856111111111	0.0333333333333	0.0863888888889	0.0477777777778
02	0.816944444444	0.0338888888889	0.0922222222222	NA
03	0.690833333333	0.0327777777778	0.0875	0.0488888888889
04	0.870277777778	0.0344444444444	0.0925	0.045
05	0.563888888889	0.0341666666667	0.0891666666667	0.0558333333333
06	0.825	0.0333333333333	0.0930555555556	0.055
07	0.862222222222	0.0325	0.0930555555556	0.0577777777778
08	0.885833333333	0.0327777777778	0.0858333333333	0.0555555555556
09	0.8925	0.0288888888889	0.0933333333333	0.0586111111111
10	0.8975	0.0363888888889	0.0902777777778	0.0572222222222
11	0.748333333333	0.0344444444444	0.0877777777778	0.0583333333333
12	0.807222222222	0.0383333333333	0.0894444444444	0.0555555555556
13	0.710833333333	0.0344444444444	0.0894444444444	NA
14	0.8775	0.0355555555556	0.0905555555556	0.0430555555556
15	0.959722222222	0.0344444444444	0.0894444444444	0.0458333333333
16	0.7	0.0363888888889	0.0902777777778	0.0472222222222
17	0.831111111111	0.0355555555556	0.0836111111111	0.0444444444444
18	0.840277777778	0.0363888888889	0.0916666666667	0.0472222222222
19	3.48138888889	0.0363888888889	0.0911111111111	NA
20	0.691111111111	0.0347222222222	0.0869444444444	NA
