x,y,type
5.7,0.552327881881243,point
6.2,0.00017690251848833,point
6.6,0.000132537190661449,point
6.6,0.00013176642930655,point
6.8,1.97426130607034,point
6.9,0.000843804808278206,point
7.2,0.00040983596900589,point
7.2,1.37184876639894,point
7.3,0.000494850411231808,point
7.6,0.00100378954529607,point
7.6,0.0330901433076328,point
7.6,9.33198745270028e-05,point
7.6,0.282528765986501,point
7.6,5.49460140640575e-05,point
7.6,0.000241836011674816,point
7.7,0.000554722113310231,point
7.7,1.14349138017309,point
7.8,1.15225482176703,point
7.8,1.64244743182906,point
7.8,2.21053848797838,point
7.8,0.984551436968709,point
7.9,1.46075304654931,point
7.9,0.000550736031667769,point
7.9,0.540410217249316,point
8,0.611260214122276,point
8,1.48232169361635,point
8.2,1.58841122552258,point
8.2,0.000441803867680584,point
8.2,0.750232599009251,point
8.2,0.000120450341529196,point
8.2,0.000342540253690846,point
8.2,1.65660162281536,point
8.2,0.565611797689326,point
8.2,1.91296404315089,point
8.3,0.830952160935301,point
8.3,2.00879521612505,point
8.3,0.00209735075159608,point
8.3,0.00197050041425414,point
8.3,2.81650345539389,point
8.3,2.64465003068025,point
8.3,1.28510625106125,point
8.3,0.22803303495843,point
8.3,0.00185924327154089,point
8.3,0.706407661292313,point
8.3,1.36539019456756,point
8.3,0.701475423280217,point
8.3,0.000199450343478126,point
8.3,1.41481747150756,point
8.3,0.0047794415374734,point
8.4,2.57667933837102,point
8.4,0.0886634784879651,point
8.4,1.4046579303256,point
8.4,0.167188340081878,point
8.4,0.953418720936117,point
8.4,0.00829917867312564,point
8.4,0.00100995564709416,point
8.4,2.01731620516938,point
8.4,0.000353215065356216,point
8.4,0.812132627814942,point
8.4,1.60844497532132,point
8.4,1.51503620362542,point
8.4,2.86902843658264,point
8.4,1.4430230906208,point
8.4,0.361629135436978,point
8.4,1.81968044430873,point
8.4,1.420304530169,point
8.5,0.432337311308155,point
8.5,1.71853479395334,point
8.5,1.95601946907136,point
8.5,1.67952288709459,point
8.5,0.000727010110688542,point
8.5,0.222121993722204,point
8.5,0.0264737432402031,point
8.5,1.76675203701031,point
8.5,1.79158072110762,point
8.5,2.68732948846008,point
8.5,2.73740987582294,point
8.5,0.280541850541692,point
8.6,0.445623952687405,point
8.6,3.04271962171451,point
8.6,2.17544156589224,point
8.6,2.50767795157319,point
8.6,0.903320609534589,point
8.6,0.819832469724652,point
8.6,0.000101773207343546,point
8.6,2.40425191002188,point
8.6,1.61531741464493,point
8.6,2.76981193107343,point
8.6,0.889430708844102,point
8.6,1.0779949188495,point
8.6,0.282177634749674,point
8.7,1.50570296073695,point
8.7,1.99910164269432,point
8.7,1.03232657729737,point
8.7,1.0419158025966,point
8.7,2.77403007196889,point
8.7,0.665386403521354,point
8.7,2.3238542490773,point
8.7,2.77175038553021,point
8.7,2.95317768740167,point
8.7,1.25224003486044,point
8.7,0.00503973972569953,point
8.7,0.609908110397763,point
8.7,2.40763555147768,point
8.7,0.62562866351612,point
8.7,0.660280622729124,point
8.7,0.295586681947106,point
8.7,1.94786810126739,point
8.7,1.54817025640759,point
8.7,2.79226399685047,point
8.8,2.58793379513916,point
8.8,2.60688041869317,point
8.8,3.02442606871214,point
8.8,2.96896624372088,point
8.8,2.75691653434787,point
8.8,0.455601035100499,point
8.8,2.69534356327109,point
8.8,1.56650832041368,point
8.8,1.62410557489641,point
8.8,2.75096874087459,point
8.8,1.53266107026264,point
8.8,2.57431468656794,point
8.8,2.21611646341679,point
8.8,1.98831749119851,point
8.8,2.61688931638668,point
8.8,0.92526649519837,point
8.8,1.37728481099987,point
8.8,2.92717777091384,point
8.8,2.28210466939382,point
8.8,1.08717766863604,point
8.8,2.78727364230009,point
8.8,1.14106651178814,point
8.8,2.73381636293106,point
8.8,2.56004480149267,point
8.8,3.71423452566203,point
8.8,1.08663432671287,point
8.8,1.41262979731829,point
8.8,0.000358654126291664,point
8.8,1.12767949804863,point
8.9,2.46044639435501,point
8.9,2.00031014609428,point
8.9,2.35044915644792,point
8.9,2.47674717586001,point
8.9,2.72297961991158,point
8.9,2.8369925659847,point
8.9,2.65702712976871,point
8.9,1.88966433168839,point
