x,y,type
5.7,2.67230539528005,point
6.2,2.9722478310409,point
6.6,3.64884504967097,point
6.6,3.48792361930375,point
6.8,2.60115926805908,point
6.9,3.23852244315195,point
7.2,3.634500338236,point
7.2,3.07339181605292,point
7.3,3.29430901957375,point
7.6,3.03586844340886,point
7.6,2.95007269190285,point
7.6,3.27931379407694,point
7.6,2.83190358229324,point
7.6,3.33468982990136,point
7.6,3.18064915196729,point
7.7,3.53837675154091,point
7.7,3.09899889114799,point
7.8,3.2242301712766,point
7.8,2.47955652792087,point
7.8,2.45547846929195,point
7.8,3.36509898991582,point
7.9,2.85865939974829,point
7.9,3.17870826812971,point
7.9,3.11320040266395,point
8,2.57572377898527,point
8,2.53658262029534,point
8.2,2.92272876905272,point
8.2,2.63577064036612,point
8.2,3.05638063510998,point
8.2,2.95948084545145,point
8.2,2.63056156860535,point
8.2,2.93967417636999,point
8.2,3.05254109850945,point
8.2,2.53414130712769,point
8.3,2.90963487524042,point
8.3,2.72631245093491,point
8.3,3.21186571728675,point
8.3,3.11285023193934,point
8.3,1.50292629700019,point
8.3,2.46309403449479,point
8.3,3.13844260924951,point
8.3,2.58550100635496,point
8.3,3.11560427996452,point
8.3,2.68745491137894,point
8.3,2.68842433137717,point
8.3,3.10243306009989,point
8.3,3.32892835270706,point
8.3,2.103208903951,point
8.3,3.24778475550298,point
8.4,2.60925144370661,point
8.4,3.09805230161066,point
8.4,2.24591240823307,point
8.4,2.91865719140199,point
8.4,2.84459856638353,point
8.4,3.05137210172103,point
8.4,3.14307989725023,point
8.4,2.6839232258979,point
8.4,2.52973100948912,point
8.4,2.99114902138064,point
8.4,2.32558213814009,point
8.4,2.86394241386644,point
8.4,2.39372370832223,point
8.4,2.645026029569,point
8.4,2.71127242812401,point
8.4,2.57617623662331,point
8.4,2.26780843118256,point
8.5,3.24748856365592,point
8.5,2.74871024815624,point
8.5,1.91217080294995,point
8.5,2.57507266848499,point
8.5,3.12337981392172,point
8.5,2.54661299117508,point
8.5,2.48637972163285,point
