"","x"
"1",0.179781471769837
"2",0.255096236120629
"3",0.882305156636472
"4",0.988941513569142
"5",0.681174801060106
"6",0.300384055338417
"7",0.323330413243589
"8",0.904011562475116
"9",0.955087002749334
"10",0.180514102831076
"11",0.834057833257093
"12",0.277874125584326
"13",0.192668334748164
"14",0.930714489713475
"15",0.609730136076232
"16",0.477985296058662
"17",0.838504885407813
"18",0.663364116675055
"19",0.384327336699521
"20",0.0541724090103138
"21",0.337678250869244
"22",0.077939740240708
"23",0.36434866305106
"24",0.193079301559472
"25",0.605479222503562
"26",0.780591951443498
"27",0.897201423777632
"28",0.150052886305132
"29",0.167404265731431
"30",0.0203661790911547
"31",0.612295730275625
"32",0.0108947975091119
"33",0.324731220870242
"34",0.334405384104626
"35",0.727452199374007
"36",0.360420075228942
"37",0.991576043127591
"38",0.567571876148178
"39",0.293436871160118
"40",0.129077461844363
"41",0.119342114129542
"42",0.368687306563417
"43",0.0306802986694841
"44",0.899324610305519
"45",0.934069016170884
"46",0.846319620151187
"47",0.397034207662507
"48",0.0421808688685601
"49",0.665232620969377
"50",0.201786858548568
"51",0.896078610758663
"52",0.5370748724262
"53",0.995303515581159
"54",0.160555554703146
"55",0.643873123928323
"56",0.108692882667281
"57",0.877281792992372
"58",0.137998110937936
"59",0.268815603723331
"60",0.640039543491549
"61",0.52061490879808
"62",0.628834471444004
"63",0.712943761876941
"64",0.453560199428197
"65",0.621443208009235
"66",0.824329711019584
"67",0.917365553895698
"68",0.173197563240007
"69",0.323281134215188
"70",0.639765313538432
"71",0.641421478167275
"72",0.458178771488083
"73",0.843636440833287
"74",0.852788310402211
"75",0.90711889012084
"76",0.0122825190987909
"77",0.264201718092157
"78",0.0651531936129177
"79",0.223512770069893
"80",0.676634933962958
"81",0.0878059878708407
"82",0.994332390979689
"83",0.319543167380626
"84",0.599801842589991
"85",0.570925787720041
"86",0.901640586829766
"87",0.35751510194355
"88",0.660249597143929
"89",0.665998008339498
"90",0.857413252091619
"91",0.722741078439515
"92",0.441753576580776
"93",0.945650965961142
"94",0.927867092723855
"95",0.705397664135463
"96",0.320699349757448
"97",0.446651463712346
"98",0.383691445835702
"99",0.700075025218792
"100",0.910988252418499
"101",0.467618415996366
"102",0.356318963076244
"103",0.942628867293099
"104",0.8947329428911
"105",0.473410927721148
"106",0.958077355533331
"107",0.363152765211409
"108",0.727985491323473
"109",0.719847257843147
"110",0.515620431736523
"111",0.567132018110822
"112",0.640613021377483
"113",0.24372365558615
"114",0.950664323893367
"115",0.439150958191411
"116",0.869160887372224
"117",0.634555345705165
"118",0.32567427110097
"119",0.402059365138611
"120",0.578784826781147
"121",0.423017860180547
"122",0.737107468027812
"123",0.756020320803676
"124",0.558451995092865
"125",0.859320655552722
"126",0.329181412090447
"127",0.535632951750976
"128",0.00343784081815746
"129",0.637227394784348
"130",0.481378245035836
"131",0.326544390967234
"132",0.536381623527326
"133",0.153361157347708
"134",0.648386011232626
"135",0.246617684746936
"136",0.772911717220663
"137",0.597664484620229
"138",0.581381849806224
"139",0.831925809755443
"140",0.356616871699383
"141",0.74440478677022
"142",0.448720954901295
"143",0.329926966585829
"144",0.0645778074652738
"145",0.613505881712987
"146",0.384596030824782
"147",0.644339301266706
"148",0.0719918582837824
"149",0.792527599293222
"150",0.7624054681088
"151",0.871764130511613
"152",0.353287769666673
"153",0.993177805409532
"154",0.137188328516534
"155",0.826780291363891
"156",0.167876161215631
"157",0.556853198936328
"158",0.366026309944715
"159",0.9995748375431
"160",0.219709622524001
"161",0.586674993979816
"162",0.127629111116088
"163",0.812124323237378
"164",0.972537191750972
"165",0.150453072906451
"166",0.130979724056221
"167",0.629571586266009
"168",0.177535378228178
"169",0.811401456289466
"170",0.334665466540145
"171",0.464934216211185
"172",0.218833415224919
"173",0.573223185553284
"174",0.650600561057302
"175",0.188197522643854
"176",0.505464727107791
"177",0.183619938305067
"178",0.62225858760279
"179",0.915494703215343
"180",0.522967692637139
"181",0.352554121947626
"182",0.61983756873538
"183",0.489165045296695
"184",0.952231648882142
"185",0.68814188285037
"186",0.97442297375203
"187",0.693677985216311
"188",0.663243296174436
"189",0.662009734227089
"190",0.617996427196104
"191",0.6451370853557
"192",0.175236748317762
"193",0.316688194436781
"194",0.402098419441761
"195",0.968115422751454
"196",0.347510130942945
"197",0.523485343662205
"198",0.31447351596316
"199",0.0853582957756592
"200",0.507106428502667
"201",0.769989909100001
"202",0.766892132276836
"203",0.774362409322847
"204",0.844121457149913
"205",0.984664767423575
"206",0.336276453086363
"207",0.363958796920352
"208",0.873572905986527
"209",0.582692877574747
"210",0.817014580176972
"211",0.734223091017935
"212",0.706943354960608
"213",0.679806815284515
"214",0.325480964392454
"215",0.552471471353484
"216",0.273101931138875
"217",0.119321340483663
"218",0.330407264337865
"219",0.909613204261666
"220",0.617618003567589
"221",0.218183096128977
"222",0.493240872759804
"223",0.354175078595166
"224",0.699412523772633
"225",0.0147857277983776
"226",0.373683319828459
"227",0.547450450363423
"228",0.773096094637998
"229",0.755004610910336
"230",0.380839919954197
"231",0.387940063188858
"232",0.991435776116785
"233",0.399911365951301
"234",0.335850316245461
"235",0.448251837025708
"236",0.945369691965813
"237",0.0744626069174463
"238",0.889377674743232
"239",0.0102791116511554
"240",0.560516660000433
"241",0.480252566588125
"242",0.0851402974070541
"243",0.529675987386574
"244",0.740800710134286
"245",0.415073235786693
"246",0.657932423287876
"247",0.727285899273902
"248",0.418805812907873
"249",0.144014826995469
"250",0.459364517976145
"251",0.763882914431326
"252",0.234852903011198
"253",0.504165869941401
"254",0.728779308226174
"255",0.806222043265224
"256",0.0384468420723425
"257",0.354307265610961
"258",0.626135915428084
"259",0.221856426457722
"260",0.32297616976653
"261",0.695080033928216
"262",0.173413691557972
"263",0.498546100387807
"264",0.46186533280714
"265",0.0305840408683109
"266",0.0213878062755033
"267",0.10948518382948
"268",0.890617133634135
"269",0.106231778971545
"270",0.48308287917943
"271",0.796140610973616
"272",0.253240650493323
"273",0.650591109052273
"274",0.635180786676389
"275",0.494930278127358
"276",0.857551223959538
"277",0.607888980169201
"278",0.307471550535497
"279",0.157872262469191
"280",0.298569586532745
"281",0.512428856937421
"282",0.160657053980838
"283",0.586373867255612
"284",0.138235999670329
"285",0.105725184398828
"286",0.244190537175912
"287",0.534526265731307
"288",0.665386880494765
"289",0.969985679698218
"290",0.249972891004238
"291",0.614240599871061
"292",0.877031728392659
"293",0.141923457283698
"294",0.301525918129309
"295",0.882518631375309
"296",0.610833519688295
"297",0.647277420252236
"298",0.457176109077992
"299",0.73376878143375
"300",0.155256813143432
"301",0.644880510600613
"302",0.466782814361633
"303",0.738219885170255
"304",0.564140206569426
"305",0.485577410244812
"306",0.339213327414343
"307",0.874365842887793
"308",0.858277270984782
"309",0.573303164677585
"310",0.0525267761527866
"311",0.874578952923263
"312",0.13943449761856
"313",0.792722629102488
"314",0.374622861339869
"315",0.3895949948086
"316",0.606020226390708
"317",0.99280357018054
"318",0.869596033741565
"319",0.205508283266381
"320",0.126146426835903
"321",0.334845680940096
"322",0.361497037078293
"323",0.935649448967129
"324",0.33987471939791
"325",0.583035827725711
"326",0.496728920841789
"327",0.407424371651891
"328",0.267017575198348
"329",0.457673982655934
"330",0.327866237035699
"331",0.540107249375116
"332",0.150077634454982
"333",0.272051742484698
"334",0.294962318686099
"335",0.659494416360562
"336",0.765443027878895
