"","x"
"1",0
"2",0
"3",0.00161134859050327
"4",0.0727326619957015
"5",6.32543679294217e-05
"6",0.0170196158616227
"7",5.61203173343738e-06
"8",9.59815960044352e-09
"9",2.86194227205883e-08
"10",2.52020626589911e-13
"11",3.57386591143261e-06
"12",2.30303731640902e-09
"13",0.0266568034747925
"14",0.00720880683047953
"15",4.54872999267053e-08
"16",0.0569665353855527
"17",0.228448251061976
"18",0.110309399582723
"19",8.32579372112008e-09
"20",0.00011890691988814
"21",0.0378367401042352
"22",0.101016183624814
"23",0.000225160481694964
"24",0.00244989635572834
"25",4.55721940184617e-08
"26",1.52594181734855e-08
"27",0.0100041800301176
"28",0.00383270249039036
"29",2.17800278035085e-06
"30",9.04026620451859e-07
"31",0.493252348508628
"32",0.0314197355354153
"33",4.22862965199222e-07
"34",0.250351031734939
"35",0.0101483071888886
"36",0.670817459708109
"37",0.331112798369307
"38",0.594110033298872
"39",0.424845477606451
"40",0.561004250868502
"41",0.823321730300168
"42",0.0569084446547901
"43",0.742081622501008
"44",0.377746118754894
"45",0.41227657370956
"46",0.00692324832891933
"47",0.467879177520996
"48",0.979984697825129
"49",0.714459266880336
"50",0.450935275877337
"51",0.00145804023788154
"52",0.000172154537207536
"53",0.00386409334639604
"54",3.91909222718922e-06
"55",0.766426329438778
"56",0.0565152135215368
"57",3.71291886125391e-12
"58",1.18031353579795e-08
"59",0.0186842158992423
"60",2.02748375437434e-05
"61",0.00710043293124873
"62",0.331271953323887
"63",1.96620497661115e-12
"64",0.010548370325506
"65",1.9027963483742e-06
"66",0
"67",0.693866696783928
"68",0.898268660889372
"69",0.0681346277461004
"70",0
"71",1.3639311902125e-11
"72",0.955293455511568
"73",1.426125884052e-11
"74",2.62077026746965e-11
"75",0.00389989742965802
"76",0.225429112506588
"77",0.0192897554054826
"78",0.000395766289822186
"79",0.0129162080776797
"80",0.0228093826092722
"81",0
"82",0.000505929389600812
"83",0.42938613251867
"84",4.58422068083664e-08
"85",0.00772617831961409
"86",0.0119676089140293
"87",3.35062422252008e-10
"88",1.73138783310378e-07
"89",0.158413219630283
"90",0
"91",3.04201108747293e-14
"92",1.4202392723206e-05
"93",0.119028860967309
"94",0.0535841741441536
"95",0.187938510379384
"96",0.00987322558114512
"97",0.540309713255959
"98",0.082099629731149
"99",4.95632099695165e-07
"100",0.0261836668160202
"101",0.00432822721762305
"102",0.00143132858443407
"103",1.18640934410053e-07
"104",0.000809932583328843
"105",0.953603507516055
"106",0.652222524672576
"107",0.827451114033827
"108",0.619086169196074
"109",0
"110",5.17230629618615e-05
"111",3.22825766119195e-10
"112",0.0833699137830505
"113",6.37098047087115e-05
"114",5.9433205246151e-07
"115",0.00167389001177132
"116",0.00579218244424307
"117",0
"118",0.000121014479900428
"119",1.96359595250328e-11
"120",0
"121",0.000226936212790241
"122",2.267093697772e-06
"123",0.413738343367309
"124",0.00310465747185562
"125",0.771594407739927
"126",0.252990082816239
"127",0.0473622335134303
"128",0.114498578521126
"129",2.16652224898084e-05
"130",7.89647585899278e-05
"131",0.0633630998214448
"132",0.388242327108587
"133",0.770461628556892
"134",0.0199246372479082
"135",6.95962619312596e-06
"136",0.00526413289258154
"137",0.0988010157270288
"138",3.41431902517453e-06
"139",0.0996968174360638
"140",0.00080073960026783
"141",0.0674425848842296
"142",0.00611727118259797
"143",0.443628569826476
"144",0.00163243405641167
"145",0.00141601658211099
"146",0.133126212851586
"147",0.114716386598596
"148",0.00321702595794271
"149",5.14550371697453e-05
"150",7.39572574859348e-06
"151",0.922218981405995
"152",0.176513066450726
"153",0.00786916265140802
"154",0.911542494498069
"155",0.00240442774756933
"156",0.218451716003716
"157",0.000374293120481872
"158",0.705738957565681
"159",0.380495502468278
"160",0.332579770377616
"161",0.0189961764361455
"162",0.0513334840108871
"163",5.28444086718149e-05
"164",0.189678964717646
"165",0.462635454630693
"166",0.0065425057994446
"167",0.0391510572538774
"168",4.1197918165814e-07
"169",0.00354007688907421
"170",0.000576061677371231
"171",0.00610262733763733
"172",0.0822539258365289
"173",7.56501092377126e-05
"174",2.23008394639734e-06
"175",0.0400722729453356
"176",0.00030784349781432
"177",0.00103806627849856
"178",0.959722060637988
"179",4.17834954413721e-08
"180",0.0319065092589348
"181",0.806715839696045
"182",0.957731355103711
"183",0.00774152480619139
"184",0.1424210868679
"185",6.44504449809347e-11
"186",0.0598676617092824
"187",0.612403787477709
"188",0.343495566003406
"189",0.228203287554133
"190",0.00227262784678417
"191",0.680043288135641
"192",0.00754882090242126
"193",0.0642151761743959
"194",0.00123228326291014
"195",0.017948569937034
"196",0.662038847616561
"197",0.528178440084193
"198",0.346902309863326
"199",0.00395782149275936
"200",0.00245302885611265
"201",0.169792291073448
"202",0.193755813667189
"203",0.00169689933327155
"204",0.00326640160844094
"205",0.00364188428027346
"206",0.055531393219489
"207",0.00171560847420493
"208",0.146666397187286
"209",0.000992987057945927
"210",0.709856936216651
"211",0.0608265664834837
"212",0.251889179930336
"213",1.37415061773893e-06
"214",2.50732767881345e-12
"215",0
"216",1.89055875554622e-06
"217",0.000295132248031571
"218",0.0257445768202891
"219",0
"220",9.63959958721894e-06
"221",0.12452867700124
"222",0.992274605016048
"223",0.265155391265585
"224",0.986652774418304
"225",0.654349677208447
